# z x xkai_real xkai_imag
  12   16 1.0000000e-02 -3.7747718e-01
  12   17 1.0000000e-02 -3.7747718e-01
  12   18 0.0000000e+00 0.0000000e+00
  12   19 0.0000000e+00 0.0000000e+00
  13    0 0.0000000e+00 0.0000000e+00
  13    1 0.0000000e+00 0.0000000e+00
  13    2 0.0000000e+00 0.0000000e+00
  13    3 4.0000000e-02 -1.0185892e+00
  13    4 4.0000000e-02 -1.0185892e+00
  13    5 4.0000000e-02 -1.0185892e+00
  13    6 4.0000000e-02 -1.0185892e+00
  13    7 0.0000000e+00 0.0000000e+00
  13    8 1.2000000e+00 -6.2912863e-02
  13    9 1.2000000e+00 -6.2912863e-02
  13   10 1.2000000e+00 -6.2912863e-02
  13   11 1.2000000e+00 -6.2912863e-02
  13   12 1.2000000e+00 -6.2912863e-02
  13   13 0.0000000e+00 0.0000000e+00
  13   14 1.0000000e-02 -3.7747718e-01
  13   15 1.0000000e-02 -3.7747718e-01
  13   16 1.0000000e-02 -3.7747718e-01
  13   17 0.0000000e+00 0.0000000e+00
  13   18 0.0000000e+00 0.0000000e+00
  13   19 0.0000000e+00 0.0000000e+00
  14    0 0.0000000e+00 0.0000000e+00
  14    1 0.0000000e+00 0.0000000e+00
  14    2 4.0000000e-02 -1.0185892e+00
  14    3 4.0000000e-02 -1.0185892e+00
  14    4 4.0000000e-02 -1.0185892e+00
  14    5 4.0000000e-02 -1.0185892e+00
  14    6 4.0000000e-02 -1.0185892e+00
  14    7 4.0000000e-02 -1.0185892e+00
  14    8 0.0000000e+00 0.0000000e+00
  14    9 1.2000000e+00 -6.2912863e-02
  14   10 1.2000000e+00 -6.2912863e-02
  14   11 1.2000000e+00 -6.2912863e-02
  14   12 0.0000000e+00 0.0000000e+00
  14   13 0.0000000e+00 0.0000000e+00
  14   14 1.0000000e-02 -3.7747718e-01
  14   15 1.0000000e-02 -3.7747718e-01
  14   16 0.0000000e+00 0.0000000e+00
  14   17 0.0000000e+00 0.0000000e+00
  14   18 0.0000000e+00 0.0000000e+00
  14   19 0.0000000e+00 0.0000000e+00
  15    0 0.0000000e+00 0.0000000e+00
  15    1 0.0000000e+00 0.0000000e+00
  15    2 4.0000000e-02 -1.0185892e+00
  15    3 4.0000000e-02 -1.0185892e+00
  15    4 4.0000000e-02 -1.0185892e+00
  15    5 4.0000000e-02 -1.0185892e+00
  15    6 4.0000000e-02 -1.0185892e+00
  15    7 4.0000000e-02 -1.0185892e+00
  15    8 4.0000000e-02 -1.0185892e+00
  15    9 0.0000000e+00 0.0000000e+00
  15   10 1.2000000e+00 -6.2912863e-02
  15   11 0.0000000e+00 0.0000000e+00
  15   12 0.0000000e+00 0.0000000e+00
  15   13 0.0000000e+00 0.0000000e+00
  15   14 1.0000000e-02 -3.7747718e-01
  15   15 0.0000000e+00 0.0000000e+00
  15   16 0.0000000e+00 0.0000000e+00
  15   17 0.0000000e+00 0.0000000e+00
  15   18 4.5000000e-01 -8.2985062e-01
  15   19 0.0000000e+00 0.0000000e+00
  16    0 0.0000000e+00 0.0000000e+00
  16    1 0.0000000e+00 0.0000000e+00
  16    2 4.0000000e-02 -1.0185892e+00
  16    3 4.0000000e-02 -1.0185892e+00
